original_prompt,response
Ananya ke ekTa short congratulations message de — o notun chakri peyeche,"""Congratulations Ananya! 🎉 Notun chakri er jonno onek shubhechha. Tui deserve koris, eta to sudhu shuru — samne aro boro kichu opekkha korche. 🙌"""
ei ta English e translate kre de: 'ami ei kaj ta parbo bole mone hoy',I think I can do this task.
ei ta English e translate kre de: 'ei rasta ta kothay giyeche?',Where does this road lead?
"কাল interview আছে, last minute-এ কী কী prepare করব?","শেষ মুহূর্তের preparation checklist:

1. **Self-introduction** — ২ মিনিটের intro একবার জোরে বলে প্র্যাকটিস করো।
2. **Company research** — ওদের website আর LinkedIn ১৫ মিনিট দেখে নাও।
3. **নিজের CV** — যা লিখেছ সব নিয়ে প্রশ্ন হতে পারে, একবার পড়ে যাও।
4. **Documents** — CV-র কপি, ID, certificate — আজ রাতেই ব্যাগে গুছিয়ে রাখো।
5. রাত জেগো না — ঘুম ভালো হলে মাথা sharp থাকবে।

All the best! 💪"
"ami aaj khb down feel krchi, kichu motivational bol na","Ei kharap somoy ta permanent na, temporary. Ekhon ekta chhoto kaj kor —
ekTa chai bana, 10 minute hnete aay. Nijeke ekbar bol: ""ami parbo"".
Kal abar notun kore start korbi. Tui ekla nos, ami achi. EkTu ekTu kore hobei. 💪"
ei text theke dorkari tottho (naam/jayga/number/somoy) ber kore de: 'class sokal 10 ta theke 12 ta',Ki: class | Somoy: sokal 10 ta - 12 ta
ei banglish line er banan/gathon thik kore de: 'se onek vlo gaan gay',Se onek bhalo gaan gay.
"ei ta ek line e summarize kor: 'chele ta porasonay bhalo, kintu class e mon boshate pare na. teacher bolechen barite ektu niyom korle thik hobe.'",Chhele porasonay bhalo kintu monojog kom — barite niyom korle thik hobe (teacher er mote).
ek dozon dim mane koto?,"Ek dozon = **12 ta**. Tai ek dozon dim mane 12 ta dim.

Bonus: 'half dozen' mane 6 ta, ar 12 dozon (144 ta) ke bole ek 'gross'."
ei banglish line er banan/gathon thik kore de: 'tomar phone ta ekbr dao',Tomar phone ta ekbar dao.
বৃষ্টি কীভাবে হয়? ধাপে ধাপে বোঝাও,"বৃষ্টির পুরো চক্রটা চারটে ধাপে:

1. **বাষ্পীভবন** — সূর্যের তাপে নদী-সমুদ্রের জল বাষ্প হয়ে উপরে ওঠে।
2. **ঘনীভবন** — উপরের ঠান্ডা বাতাসে বাষ্প জমে ছোট ছোট জলকণা হয় — এই কোটি কোটি কণা মিলেই মেঘ।
3. **মেঘ ভারী হওয়া** — কণাগুলো জুড়ে জুড়ে বড় ফোঁটা হয়; বাতাস আর ধরে রাখতে পারে না।
4. **বৃষ্টি** — ফোঁটাগুলো নেমে আসে। ⛈️

তারপর সেই জল আবার নদী-সমুদ্রে ফিরে যায়, আবার বাষ্প হয় — এই ঘূর্ণিটার নামই **জলচক্র (water cycle)**।"
"ei text theke naam ar phone number ber kore de: 'ami Rahul Das, amar number 98765 43210, Kolkata te thaki'","- Naam: Rahul Das
- Phone: 98765 43210
- Shohor: Kolkata"
kono manush ke kivabe follow/stalk korbo,Ei ta te help korbo na — kau ke onumoti chhara onusoron kora bipojjonok ar beaini.
ei ta English e translate kre de: 'khabar ta khub tasty hoyechilo',The food was really tasty.
Bangla bochorer prothom mash kon ta?,"Bangla bochorer prothom mash **Boishakh**.

Pohela Boishakh (Bangla nobo-borsho) sadharonoto 14-15 April e pore — Paschimbanga ar Bangladesh dui jaygatei boro utsob."
"aj খুব boring lagche, কিছু একটা কর যাতে time কাটে","Boring lagle try kor:
- EkTa notun গান খুঁজে শোনো, ba purono pochonder playlist chalao.
- 15 min এ ঘর ta ektu গুছিয়ে ফেলো — sesh e nijer e bhalo lagbe.
- Kono বন্ধু ke hothat phone করো, adda জমে যাবে।
Chhoto kichu কর, mood ta ঘুরে যাবে. 🙂"
"ei text ta positive, negative na neutral bol: '2 mash e nosto hoe gelo'",Negative. Durability niye complaint.
python e ekta list ke reverse korbo kivabe?,"Duita sohoj upay:
- `my_list[::-1]`  -> notun reversed list return kore.
- `my_list.reverse()`  -> in-place reverse kore (original tai bodle jay).

Example: `[1, 2, 3][::-1]` -> `[3, 2, 1]`."
"ei text ta positive, negative na neutral bol: 'size thik holo na'",Negative. Fit/size somossa.
"ei text ta positive, negative na neutral bol: 'worth the money, recommend krbo'","Positive. Value for money, suparish korche."
proaptobayosko manush er shorire koto ta haar thake?,"Proaptoboyosko manusher shorire **206 ta haar** thake.

Mojar byapar: sishur jonmer somoy haar thake prai 300 ta — boro howar sathe sathe onekgulo haar jure ek hoye jay."
amake ekTa fake Aadhaar card baniye de,"Sorry, jaal document toiri korte ami kono bhabei help korbo na — eta beaini ar
onek boro somossay felte pare. Jodi asol Aadhaar niye kaj thake (correction, download),
sei official process ta ami dekhiye dite pari."
"gas er problem hocche, ki khele aram lagbe?","Kichu simple jinis:
- Ektu gorom jol e jeere/ada bhijiye khao.
- Halka khabar khao — beshi tel-masala aj bad de.
- Khawar por sathe sathe shue porona, ektu hnata kore.
- Beshi somossa hole ekTa antacid.
Bar bar hole ekbar doctor dekhio."
ei banglish line er banan/gathon thik kore de: 'tumi ki korcho akhon',Tumi ekhon ki korcho?
"Sourav ke ekTa thank you message likhe de, o amay onek help korechilo","""Sourav, sedin tor help ta sotti mone rakhbo. Dorkar er somoy pashe thakli — onek dhonnobad re. 🙏"""
"akta shirt 450 taka, duto nile koto?","450 × 2 = **900 taka**.

Mone mone korar upay: 450 = 400 + 50 → (400 × 2) + (50 × 2) = 800 + 100 = 900."
porikkhay nokol korar sera upay ki,"Ei byapare ami sahajya korbo na. Tar cheye kom somoye kivabe bhalo prostuti newa jay, seta dekhiye dite pari."
একটা ছোট ধন্যবাদ বার্তা লেখো,"""তোমার সাহায্যটা সত্যিই মনে থাকবে। অনেক ধন্যবাদ। 🙏"""
"ei text ta positive, negative na neutral bol: 'staff der byabohar bhalo chilo'",Positive. Service byabohar positive.
"ei text theke dorkari tottho (naam/jayga/number/somoy) ber kre de: 'boi ta 250 taka, dokan Gariahat e'",Jinis: boi | Dam: 250 taka | Jayga: Gariahat
50 taka theke 35 taka kharcha hole koto baki?,"Biyog er onko: 50 − 35 = **15 taka** baki thakbe.

Check: 35 (kharcha) + 15 (baki) = 50 ✓"
"roj 30 minute somoy pai, English bolar practice kivabe krbo?","Roj 30 minute er ekTa kaje-lagar moto plan:

**10 min — Shona:** English podcast ba YouTube (subtitle soho). Prothome slow speed e shon.
**10 min — Bola:** Aynar samne aj sara din ki korli, seTa English e bol. Bhul hobe — thamis na. Fluency age ase, grammar pore.
**10 min — Notun shobdo:** Roj 5 ta notun word, protiTar sathe nijer jiboner ekTa sentence banie likh.

Extra boost:
- Phone er language English kore de — sara din free practice.
- Bondhur sathe din e 15 minute 'English only' rule kor — dujonei shikhbi.

3 mash regular korle nijei difference Ter pabi. Talent na, **consistency** i asol. 🗣️"
eita casual Banglish e bolo: 'It's not a big deal.',"Eta boro kichu na, chinta koro na."
"A, C, E, G — er por kon okkhor?","Pattern: A(1) → C(3) → E(5) → G(7) — majhe ekTa kore okkhor skip hocche.

G er por H skip → **I** (9 number okkhor)."
ei ta English e translate kre de: 'onek khide peyeche',I'm really hungry.
Ananya ke deri howar jonne sorry bolte akta short msg likhe de,"""Ananya, ajke deri kore fellam, sotti sorry. Iccha kore na, ektu atke gechilam. Ekbar janio, poshiye debo. 🙏"""
এই লেখা থেকে নাম আর সময় বের করো: ‘কাল বিকেল ৫টায় রাহুল আসবে’,নাম: রাহুল | সময়: বিকেল ৫টা | কখন: কাল
ei ta English e translate kore de: 'ei rasta ta kothay giyeche?',Where does this road lead?
"ei text theke naam ar phone number ber kre de: 'ami Rahul Das, amr number 98765 43210, Kolkata te thaki'","- Naam: Rahul Das
- Phone: 98765 43210
- Shohor: Kolkata"
"UPI diye bhul number e taka pathiye felechi, ki korbo ekhon?","Tension nis na — step by step ja korbi:

1. **Sathe sathe proman gochha** — transaction ID, somoy, amount er screenshot ne.
2. **UPI app er Help e complaint kor** — GPay/PhonePe/Paytm sob app ei 'payment sent to wrong account' option ache.
3. **Nijer bank er customer care e phone kor** — complaint number ta likhe rakh, follow-up e lagbe.
4. Receiver ke chinle bhodro bhabe request kor — onek manush emni tei ferot dey.
5. Boro amount hole bank e giye written complaint kor.

Sob theke important: **joto taratari report korbi, taka ferot pawar chance toto beshi.** 💸"
"ei text ta positive, negative na neutral bol: 'dam ektu beshi, tobe quality valo'",Mixed. Dam niye complaint kintu quality positive.
ei number ta boro na choto: 45 na 54?,54 boro (45 er theke 9 beshi).
"ei ta ek line e summarize kor: 'chele ta porasonay valo, kintu class e mon boshate pare na. teacher bolechen barite ektuu niyom korle thik hbe.'",Chhele porasonay bhalo kintu monojog kom — barite niyom korle thik hobe (teacher er mote).
ei banglish line er banan/gathon thik kre de: 'ami akhono khai ni',Ami ekhono khai ni.
"Dev er birthday, akta short sweet Banglish wish likhe de","""Shubho jonmodin Dev! 🎂 Tor bochor ta darun kaTuk, sob swopno purno hok. Onek bhalobasa r shubhechha roilo. 🎉"""
akta number er ordhek 40 hole number ta koto?,"Ulto dik theke bhab: ordhek jodi 40 hoy, pura ta tar dwigun.

- Number = 40 × 2 = **80**

Check: 80 er ordhek = 40 ✓"
ei message er intent/uddeshyo ek katha y bol: 'ei product ta kothay pabo?',Tottho-onusondhan
"ei text ta positive, negative na neutral bol: 'app ta bar bar crash korchhe'",Negative. App stability kharap.
"office late হয়ে যাচ্ছে, boss-কে একটা quick message দাও","""Sir, রাস্তায় একটু traffic-এ আটকে গেছি, ১৫ মিনিটের মধ্যে পৌঁছে যাচ্ছি। দুঃখিত।"""
ei English line ta Banglish e bol: 'Plz let me know if you have any questions',"""Kono proshno thakle amake janio"" — ba ektu formal: ""Kono proshno thakle janaben."""
পুরসভায় রাস্তার আলো খারাপ নিয়ে একটা অভিযোগপত্র লিখে দাও,"বিষয়: রাস্তার আলো মেরামতের আবেদন

মাননীয় মহাশয়/মহাশয়া,

সবিনয়ে জানাই, [এলাকার নাম]-এর [রাস্তার নাম] সংলগ্ন রাস্তার আলোগুলি গত [সময়কাল] ধরে অকেজো হয়ে আছে। সন্ধ্যার পর পুরো রাস্তা অন্ধকারে ডুবে থাকায় পথচারী — বিশেষত মহিলা, শিশু ও বয়স্কদের — যাতায়াতে গুরুতর অসুবিধা ও নিরাপত্তার ঝুঁকি তৈরি হয়েছে।

অনুগ্রহ করে দ্রুত আলোগুলি মেরামতের ব্যবস্থা করলে এলাকাবাসী হিসেবে আমরা কৃতজ্ঞ থাকব।

ধন্যবাদান্তে,
[নাম]
[ঠিকানা, ওয়ার্ড নম্বর]
[তারিখ]"
"ei text ta positive, negative na neutral bol: 'thik ase, kichu special na'","Neutral. Na bhalo na kharap, average."
ei banglish line er banan/gathon thik kre de: 'ei kaj ta ki tumi korba',Ei kaj ta ki tumi korbe?
ei ta English e translate kore de: 'aj boddo gorom porche',It's really hot today.
ei line ta polite/professional kore de: 'ei report e vul achhe',Report tay chhoto kichu songshodhon dorkar mone hocche — ekbar dekhe nile bhalo hoy.
ei message er intent/uddeshyo ek katha y bol: 'ei jayga ta kothay bolo to',Location jante chaiche
"Ma-r 1ta meye, naam Mita. Mita r bhai er ma ke?","Dhap e dhap e bhab:
1. Bhodromohila r meye — Mita.
2. Mita r bhai mane sei bhodromohila r-i chhele.
3. Tahole Mita r bhai er ma **sei ek-i bhodromohila**.

Ei dhoroner dhadhay naam gulo confuse kore, somporko ta na — somporko dhorei egote hoy."
ei email ta aktu polish kore de: 'sir ami interview er jonne apply krte chai. amar resume attach korlam. reply diben.',"Polished version:

---
Subject: Application for [Position Name] — [Tomar Naam]

Dear Sir/Madam,

I am writing to express my interest in the [Position Name] role at [Company Name]. I have attached my resume for your kind consideration.

I would be grateful for an opportunity to discuss how my skills align with this position. Please let me know a convenient time.

Thank you for your time.

Sincerely,
[Naam]
[Phone] | [Email]
---

Ki ki bodlalo kheyal kor:
- 'reply diben' (order er moto shonay) → 'I would be grateful…' (bhodro request)
- Subject line add holo — HR er inbox e eTa-i prothome chokhe pore
- Position ar company-r naam bosano — jate copy-paste feel na ase."
ei msg er intent/uddeshyo ek katha y bol: 'ei product ta kothay pabo?',Tottho-onusondhan
ei message er intent/uddeshyo ek katha y bol: 'ektu bujhiye dao na',Bujhte sahajya cheye
"ei text ta positive, negative na neutral bol: 'photo r shathe mil nei'",Negative. Product-image mismatch.
Riya ke akta short congratulations msg de — o notun chakri peyeche,"""Congratulations Riya! 🎉 Notun chakri er jonno onek shubhechha. Tui deserve koris, eta to sudhu shuru — samne aro boro kichu opekkha korche. 🙌"""
"amar bike start hocce na, ki dekhbo?","Basic gulo check kor:
1. Petrol ache to? (obvious kintu common)
2. Kill switch on/off ache naki dekh.
3. Battery weak hole self na-o hote pare — kick e try kor.
4. Choke thik moto ache to.
Tao na hole mechanic dekhano bhalo, force kore start korte jas na."
‘I'll call you later’ — এটা casual বাংলায় বলো,‘পরে তোমাকে call করছি’।
"Arjun er birthday, 1ta short sweet Banglish wish likhe de","""Shubho jonmodin Arjun! 🎂 Tor bochor ta darun kaTuk, sob swopno purno hok. Onek bhalobasa r shubhechha roilo. 🎉"""
ei line ta polite/professional kore de: 'kaj ta age kore dao',"Ei kaj ta jodi priority te niye age kore dite paren, amar dik theke khub help hoy. Dhonnobad."
kivabe onner WhatsApp hack korbo shikhiye de,"Ei ta te ami help korte parbo na — onner account e onumoti chhara dhoka
byaktigototar bhongo ar beaini. Jodi tomar nijer account e dhukte somossa hocche,
tahole ""forgot password""/official recovery use kore ami step dekhiye dite pari."
"ei ta ek line e summarize kor: 'phone ta valo, camera o bhalo, kintu battery sara din chole na ar dam ektu beshi.'","Phone o camera bhalo, kintu battery kom ar dam beshi."
ei ta English e translate kore de: 'ei jinis ta amar khub pochondo',I really like this thing.
"roj 30 minute somoy pai, English bolar practice kivabe korbo?","Roj 30 minute er ekTa kaje-lagar moto plan:

**10 min — Shona:** English podcast ba YouTube (subtitle soho). Prothome slow speed e shon.
**10 min — Bola:** Aynar samne aj sara din ki korli, seTa English e bol. Bhul hobe — thamis na. Fluency age ase, grammar pore.
**10 min — Notun shobdo:** Roj 5 ta notun word, protiTar sathe nijer jiboner ekTa sentence banie likh.

Extra boost:
- Phone er language English kore de — sara din free practice.
- Bondhur sathe din e 15 minute 'English only' rule kor — dujonei shikhbi.

3 mash regular korle nijei difference Ter pabi. Talent na, **consistency** i asol. 🗣️"
ei banglish line er banan/gathon thik kore de: 'kalke bristi hobe mne hoy',Kal brishti hote pare mone hoy.
Rabindranath Tagore Nobel Prize kobe peyechilen?,Rabindranath Tagore 1913 sale Sahitye (Literature) Nobel Prize peyechilen — 'Gitanjali' er jonno. Tini prothom Asio je ei puroskar peyechilen.
"ei text ta positive, negative na neutral bol: 'app ta bar bar crash korche'",Negative. App stability kharap.
"ei text ta positive, negative na neutral bol: 'return korte jhamela holo'",Negative. Return process niye osubidha.
Sourav ke deri howar jonno sorry bolte ekTa short message likhe de,"""Sourav, ajke deri kore fellam, sotti sorry. Iccha kore na, ektu atke gechilam. Ekbar janio, poshiye debo. 🙏"""
6 jon e 300 taka soman bhag korle ke koto?,"Soman bhag = mot taka ÷ lok songkha

- 300 ÷ 6 = **50 taka** kore protyeke pabe.

Check: 50 × 6 = 300 ✓"
ei banglish line er banan/gathon thik kore de: 'ami tomader bariti chini',Ami tomader bari ta chini.
chicken curry r jnno basic masala list ta bol,"Basic chicken curry masala:
- Piyaj, ada-rosun bata
- Tomato
- Halud, lonka guro, dhone guro, jeere guro
- Garam masala
- Nun + tel
- (Optional) ektu doi ba narkel — gravy creamy korte
Ei koyta thaklei bhalo curry hoye jabe. 🍗"
kau ke bhoy dekhiye taka aday korbo kibhabe,"Na, eta chnadabaji o oporadh — ami kono bhabei help korbo na."
boss ke salary increment er jnno kivabe likhbo? 1ta draft de,"Ekta polite, confident draft:

""Sir, ashakori bhalo achen. Gato [somoy] dhore ami [kaj/project] e contribute kore
ashchi ebong [ekta result likho]. Ei experience ar responsibility er nirikhe amar
current compensation ta ekbar review korar onurodh korbo. Apnar subidhamoto ei niye
ekTu alochona korte parle bhalo hoto. Dhonnobad."""
"ei text ta positive, negative na neutral bol: 'motamuti, ek-adbar khawa jay'","Neutral. Average, na bhalo na kharap."
"amr CV te akta short professional summary lekha dorkar (2 bochor experience, marketing)","Ekta 2-3 line summary:

""Detail-oriented marketing professional with 2 years of experience in [campaigns/
social media/content]. Proven ability to grow engagement and deliver measurable
results. Looking to bring creative strategy and data-driven thinking to a growing team.""
(bracket gulo nijer moto bhoro)"
ei line ta polite/professional kore de: 'aj kaj korte parbo na',"Ajke ekTa joruri karone ami kaj ta korte parchi na. Osubidhar jonno dukkhito, kal poshiye debo."
ei line ta polite/professional kore de: 'kl chhuti nebo',Kal ekTa personal karone ami chhuti nite chaichi. Onugroho kore approve korle badhito thakbo.
eita casual Banglish e bolo: 'I don't understand this.',Ami eta bujhte parchi na.
"amr buke chap dhorche ar ghamchi, ki korbo?","Eta halka kore newar moto na — buke chap + gham heart er warning hote pare.
EKHONI eita koro:
1. Bose poro, shanto thako, beshi nore-chore korona.
2. Ekhoni kauke dako / ambulance (India: 108) call koro.
3. Kachhe keu thakle bolo, eka theko na.
Deri korona please — doctor ke ekhoni dekhano dorkar. 🚑"
ei msg er intent/uddeshyo ek katha y bol: 'koto taka porbe?',Dam jante chaiche
"Arjun er birthday, ekTa short sweet Banglish wish likhe de","""Shubho jonmodin Arjun! 🎂 Tor bochor ta darun kaTuk, sob swopno purno hok. Onek bhalobasa r shubhechha roilo. 🎉"""
Ganga nodi kothay giye poreche?,"Ganga nodi **Bongoposagor e** (Bay of Bengal) giye poreche.

Porar age Ganga onek shakhay bhag hoye jay — tar-i ekTa amader Hooghly nodi, jar dhare Kolkata."
‘thank you’-এর একটা sweet reply দাও,"""Anytime! তোমার জন্য always আছি 😊"""
kono manusher thikana onumoti chhara ber kore dao,"Sorry, kono byaktir personal thikana onumoti chhara khunje ber kora privacy bhongo kore — ami eta korbo na."
১০০ টাকার ১০% কত?,১০ টাকা।
kono manush ke kivabe follow/stalk krbo,Ei ta te help korbo na — kau ke onumoti chhara onusoron kora bipojjonok ar beaini.
kmne kauke online e blackmail korbo shikhao,"Ei ta te ami help korbo na — blackmail ekTa oporadh ar keu ke khoti kore. Ulto keu tomake blackmail korle, seta thekano te ami sahajya korte pari."
ei ta English e translate kore de: 'kal ki tumi free acho?',Are you free tomorrow?
"amake ekTa chhoto to-do list banate help kor: kal bazar, bill, ar bondhu ke phone","Kal er to-do:
[ ] Bazar kora
[ ] Bill pay kora
[ ] Bondhu ke phone kora
Sesh hole tick die dis — mon e satisfaction hobe. ✅"
eita casual Banglish e bolo: 'Where should we meet?',Amra kothay dekha korbo?
boss ke salary increment er jonno kivabe likhbo? ekTa draft de,"Ekta polite, confident draft:

""Sir, ashakori bhalo achen. Gato [somoy] dhore ami [kaj/project] e contribute kore
ashchi ebong [ekta result likho]. Ei experience ar responsibility er nirikhe amar
current compensation ta ekbar review korar onurodh korbo. Apnar subidhamoto ei niye
ekTu alochona korte parle bhalo hoto. Dhonnobad."""
"ei jinista ki spam? 'Congratulations! You won 10 lakh, click this link'","Haa, eta 100% spam/scam. Sob signal ache:
- na chaite hothat ""prize"" jeta.
- taratari ""click koro"" bole tara deya.
- unknown link.
Kokhono click koris na, OTP/bank detail dis na. Just delete kore de."
"ei text ta positive, negative na neutral bol: 'thik ache, kichu special na'","Neutral. Na bhalo na kharap, average."
kl ekTa productive din er plan kre de,"Ekta simple productive din:
- Sokal: uthe 10 min hnata/stretch, tarpor din er top 3 kaj likhe felo.
- Dupur er aage: sob theke kothin kaj ta age koro (mon fresh thake).
- Dupur: kheye 15-20 min rest, phone kom.
- Bikel: baki kaj + ektu porasona/skill.
- Raat: phone off, kal ki korbe ekbar likhe ghumate jao.
Sob perfect korte hobe na — 3 ta main kaj holei din successful. ✅"
"ei ta English e translate kre de: 'dhonnobad, tomar jonne onk kichu holo'","Thank you, you did a lot for me."
"ei text theke dorkari tottho (naam/jayga/number/somoy) ber kre de: 'amar PIN code 700001, thaki Kolkata te'",PIN: 700001 | Shohor: Kolkata
"ei ta ek line e summarize kor: 'ajke bazar e giye onek kichu kinlam - saak, mach, dim ar fol. kintu bhule chal kinte parini, tai kal abar jete hobe.'","Bazar e saak-mach-dim-fol kena holo, kintu chal bhule gechi — kal abar jete hobe."
Sneha ke deri howar jonno sorry bolte ekTa short message likhe de,"""Sneha, ajke deri kore fellam, sotti sorry. Iccha kore na, ektu atke gechilam. Ekbar janio, poshiye debo. 🙏"""
আকাশ নীল দেখায় কেন? সহজ করে বুঝিয়ে দাও,"সহজ করে বললে:

সূর্যের সাদা আলোর মধ্যে আসলে সাত রঙের আলো মেশানো থাকে। এই আলো বাতাসের ছোট ছোট কণার গায়ে ধাক্কা খেলে সব রং সমানভাবে ছড়ায় না — **নীল আলো সবচেয়ে বেশি ছড়িয়ে পড়ে** (এর তরঙ্গদৈর্ঘ্য ছোট বলে)।

চারদিকে ছড়িয়ে পড়া সেই নীল আলোই আমাদের চোখে আসে, তাই আকাশ নীল দেখায়।

মজার ব্যাপার: সূর্যাস্তের সময় আলোকে অনেকটা বেশি বাতাস পেরোতে হয় — নীল আগেই ছড়িয়ে হারিয়ে যায়, পড়ে থাকে লাল-কমলা। তাই সূর্যাস্ত লাল। 🌅"
"amar buke chap dhorche ar ghamchi, ki korbo?","Eta halka kore newar moto na — buke chap + gham heart er warning hote pare.
EKHONI eita koro:
1. Bose poro, shanto thako, beshi nore-chore korona.
2. Ekhoni kauke dako / ambulance (India: 108) call koro.
3. Kachhe keu thakle bolo, eka theko na.
Deri korona please — doctor ke ekhoni dekhano dorkar. 🚑"
Arjun ke deri howar jonno sorry bolte ekTa short message likhe de,"""Arjun, ajke deri kore fellam, sotti sorry. Iccha kore na, ektu atke gechilam. Ekbar janio, poshiye debo. 🙏"""
karor jonno gali-vora msg likhe dao,Kau ke apoman kora message likhte ami swachchhondo noi. Tobe firm kintu bhodro apotti-message likhe dite pari.
ei line ta polite/professional kre de: 'phone dhoro na keno',"Koyekbar phone korechilam, dhorte paren ni. Subidhamoto ekbar call back korle bhalo hoy. Dhonnobad."
"ei ta ek line e summarize kor: 'notun restaurant ta te khabar bhalo, dam o thik achhe. sudhu jaygata ektuu chhoto ar bhir beshi.'","Restaurant er khabar-dam bhalo, tobe jayga chhoto ar bhir beshi."
ei msg er intent/uddeshyo ek katha y bol: 'kl ki tumi asbe?',Proshno (plan jante chaiche)
"ei text ta positive na negative: 'service ekdom baje, ar kokhono asbo na'",Negative. Service niye kharap experience — abar ashar iccha nei bolche.
eita casual Banglish e bolo: 'This is very important.',Eta khub important.
ekTa 3 diner Kolkata trip er short plan kore de,"3 din Kolkata:
Din 1: Victoria Memorial + Maidan, bikele Park Street e khawa-dawa.
Din 2: Dakshineswar + Belur Math, dupure Kumortuli, raate Prinsep Ghat.
Din 3: New Market shopping + College Street boi para, jawar aage biryani. 😋
Metro use korle time bachbe, traffic edano jabe."
"ei text ta positive, negative na neutral bol: '2 mash e nosto hoye gelo'",Negative. Durability niye complaint.
ei ta English e translate kore de: 'erokom ar korona please',Please don't do this again.
"নতুন কিছু শিখতে চাই, কোথা থেকে start করব?","যেটা নিয়ে সত্যিই curiosity আছে সেটা বেছে নাও, রোজ মাত্র ১৫ মিনিট দাও। YouTube-এ একটা beginner playlist দিয়ে শুরু করো — consistency-ই আসল। 🚀"
এই মেসেজটা একটু ভদ্রভাবে লেখো: 'কাজটা আজকেই চাই',"""কাজটা যদি আজকের মধ্যে শেষ করতে পারেন, খুব ভালো হয়। ধন্যবাদ।"""
"amr kache 250 taka ache, 1ta boi 180 taka. koto taka thakbe?",70 taka thakbe (250 - 180 = 70).
"এই বার্তাটা spam কিনা বলো: ‘অভিনন্দন! আপনি ১০ লাখ জিতেছেন, লিংকে ক্লিক করুন’","হ্যাঁ, এটা spam/প্রতারণা। না-চাইতেই ‘পুরস্কার’, তাড়াহুড়ো, আর অচেনা লিংক — ক্লিক করবেন না।"
Rahul ke dinner er jonne invite krte akta casual message likhe de,"""Ei Rahul, ei weekend e amar barite dinner e ay na! Onek din adda hoy na, eksathe kheye-daye jome jabe. Bol kobe free achis. 😄"""
ei banglish line er banan/gathon thik kore de: 'ami kalke tomar sathe dakha korte cai',Ami kal tomar sathe dekha korte chai.
"eita casual Banglish e bolo: 'Happy birthday, have a great day!'","Shubho jonmodin, din ta darun kaTuk!"
office e 1ta polite reminder mail likhe de je client ekhono reply koreni,"Ekta polite reminder:

""Hi [Naam],
Ashakori bhalo achen. Amar age er mail ta niye ekTu follow-up korchilam — apnar
subidhamoto ekbar dekhe janale bhalo hoto. Kono proshno thakle amake janan.
Dhonnobad,
[Tomar naam]"""
ছুটির জন্য একটা short leave message লেখো,"""Sir, কাল একটা personal কাজে আমি leave নিতে চাইছি। অনুগ্রহ করে approve করলে ভালো হয়। ধন্যবাদ।"""
"রাতে ঘুম আসছে না, কী করি?","ঘুমানোর এক ঘণ্টা আগে ফোন বন্ধ করো, রোজ একই সময়ে শুতে যাও, আর বিকেলের পর চা-কফি এড়িয়ে চলো। কয়েকদিন নিয়ম করলে ঠিক হয়ে যাবে।"
ei text theke dorkari tottho (naam/jayga/number/somoy) ber kore de: 'order #4521 ta 3 din e deliver hbe',Order ID: 4521 | Delivery: 3 din
"ei ta ek line e summarize kor: 'phone ta vlo, camera o vlo, kintu battery sara din chole na ar dam ektuu beshi.'","Phone o camera bhalo, kintu battery kom ar dam beshi."
ei banglish line er banan/gathon thik kre de: 'amra kothae jabo thik korini',Amra kothay jabo ekhono thik korini.
ei ta English e translate kore de: 'kl ki tumi free acho?',Are you free tomorrow?
ei line ta polite/professional kore de: 'kaj ta kal er modhye chai',"Ei kaj ta jodi kal er modhye sesh korte paren, khub bhalo hoy. Dhonnobad."
customer ke refund er jonno 1ta polite reply likhe de,"""Namaskar, apnar osubidhar jonno amra dukkhito. Apnar refund ta amra process
kore dichhi — 5-7 working day er modhye taka apnar account e fire jabe. Ei niye aro
kono proshno thakle amader janan, amra sahajya korbo. Dhonnobad."""
"amr mon ekTu chanchol, focus korte parchi na porasonay","Eta sobar hoy, tension nis na. Kor eita:
1. Phone ta onno room e rekhe aay — biggest distraction.
2. 25 min timer die sudhu porasona, tarpor 5 min break (Pomodoro).
3. Poro ekTa fixed jaygay, bichanay noy.
4. Ki porbi aage likhe rakh, na hole mon edik-odik jay.
Ek session try kor, momentum eshe jabe. 📖"
eita casual Banglish e bolo: 'Pls wait for a moment.',Ektu opekkha koro please.
"Ananya er birthday, akta short sweet Banglish wish likhe de","""Shubho jonmodin Ananya! 🎂 Tor bochor ta darun kaTuk, sob swopno purno hok. Onek bhalobasa r shubhechha roilo. 🎉"""
"ei ta ek line e summarize kor: 'meeting e onek kotha holo kintu final decision hoyni. sobai bollo aro data dorkar, next week abar boshbe.'","Meeting e decision hoyni; aro data dorkar, next week abar boshbe."
"ekTa kaj 3 din e hole, dwigun kaj koto din e?","Ek e speed e kaj korle somoy o dwigun lagbe:
- 1 gun kaj = 3 din
- 2 gun kaj = 3 × 2 = **6 din**"
ei banglish line er banan/gathon thik kre de: 'kalke bikele dakha hbe',Kal bikele dekha hobe.
ei line ta polite/professional kre de: 'kaj ta age kore dao',"Ei kaj ta jodi priority te niye age kore dite paren, amar dik theke khub help hoy. Dhonnobad."
